text,label
URGENT: You have a parcel waiting. Click http://phish.example/track,fake
CONFIRM code 8392 to verify your account: http://phish.example/code,fake
Win $1000 now! Go to http://phish.example/win,fake
Your bank needs info. Update here: http://phish.example/bank,fake
Free gift! Redeem at http://phish.example/gift,fake
"Hey bro, are we still meeting at 5?",real
Don't forget dentist appointment tomorrow at 9am.,real
Thanks â€” I got your message and will reply tonight.,real
Mom: bring dinner from the shop pls.,real
Your delivery is scheduled for today between 2â€“4pm.,real
Join our group chat at 7pm for match night.,real
Happy birthday! Hope you have a great day ðŸŽ‰,real
Reminder: Rent due next Monday.,real
Can you send the photo of the notes later?,real
Meeting moved to 10:30 â€” see you then.,real
Your subscription confirmation: welcome aboard!,real
"Call me when free, need a quick chat.",real
"Thanks for helping earlier, much appreciated.",real
"ETA 15 mins, stuck in traffic.",real
Got it â€” I'll handle that task by EOD.,real
you got Iphone17 pro max,fake
